"SPCD","DIVISION","STDORGCD","equation","a","a0","b","b0","b1","b2","c"
11,,,1,0.04805504469,,2.112855426651,,,,0.543316116812
12,"130",,2,,0.027530351734,,2.165991410846,2.24265650921,,0.639554183028
12,"210",,2,,0.004554800517,,1.618961856568,1.705068318634,,1.381801533989
12,,,2,,0.020335671738,,2.040082238049,2.119684475931,,0.780832476723
15,"M260",,1,0.00010470098,,0.869227967288,,,,2.907020844925
15,,,1,0.011441126994,,2.168321806136,,,,0.949708668194
16,,,1,0.04805504469,,2.032598212131,,,,0.543316116812
17,,,1,0.04805504469,,2.125583417933,,,,0.543316116812
19,"M330",,2,,0.022436718507,,2.004455889699,1.74277965562,,0.775790533174
19,,,2,,0.020827836856,,1.849075660482,1.899617910796,,0.863463342973
20,,,1,0.04805504469,,2.259631472555,,,,0.543316116812
68,,,1,0.059594973084,,1.562441301153,,,,0.602911936094
71,"130",,1,0.048319891721,,1.560752016687,,,,0.739990007492
71,"210",,1,0.081220229414,,1.909673882333,,,,0.419221615559
71,,,1,0.074211558286,,1.729204891509,,,,0.538671194468
73,,,1,0.059594973084,,1.881231523035,,,,0.602911936094
90,,,1,0.052650851461,,1.669699253707,,,,0.671493473329
93,,,1,0.058071391177,,1.433523972175,,,,0.819746866223
94,"130",,1,0.036605874456,,1.726868831513,,,,0.744349517148
94,"210",,1,0.034629031053,,1.589629422392,,,,0.787146322837
94,"M130",,1,0.099609876485,,1.934312453376,,,,0.42407063743
94,"M210",,1,0.030369934106,,1.556865877404,,,,0.888769054027
94,,,1,0.034795221909,,1.649734858116,,,,0.81072836807
95,"130",,1,0.038118180529,,1.679771775305,,,,0.796496664151
95,"210",,1,0.050165429572,,1.592127235575,,,,0.717866723839
95,"M130",,1,0.079779291409,,1.803275464582,,,,0.58494434086
95,,,1,0.05111605329,,1.723585470117,,,,0.703195012247
97,,,1,0.058014504993,,1.917806149899,,,,0.547480627508
98,"M240",,1,0.049553302473,,1.463704472013,,,,0.75981907305
98,,,1,0.049553302473,,1.463704472013,,,,0.75981907305
105,"130",,2,,0.037067759573,,1.765333710341,1.446274944201,,0.670566959261
105,"210",,2,,0.058683144595,,1.448466440684,1.824891693629,,0.720389027695
105,,,2,,0.048147162638,,1.693524599809,1.543556926776,,0.642405306614
107,"230",,1,0.530178788588,,1.808252468203,,,,-0.016375422827
107,,,1,0.530178788588,,1.808252468203,,,,-0.016375422827
108,"M130",,1,0.039437496464,,1.75811585301,,,,0.683384566743
108,"M210",,1,0.07319492871,,1.733598811269,,,,0.547490360315
108,"M330",,1,0.049164010034,,1.564770043122,,,,0.692947924159
108,,,1,0.061204576107,,1.529796460386,,,,0.683116028803
110,"230",,1,0.020450554132,,1.789271238536,,,,0.928946762349
110,"M230",,1,0.55113809876,,1.983882845824,,,,0.006365658711
110,,,1,0.034039673478,,1.874929813796,,,,0.754498101835
111,"230",0,1,0.046930236707,,0.819023691216,,,,1.393983197086
111,,0,1,0.052649521861,,0.836104010839,,,,1.357418230118
111,"230",1,4,0.197373655347,,1.450674693835,,,-0.050385584708,0.538874888963
111,,1,4,0.197373655347,,1.450674693835,,,-0.050385584708,0.538874888963
115,"230",,1,0.069590887604,,1.69492367517,,,,0.618372742713
115,,,1,0.069590887604,,1.69492367517,,,,0.618372742713
121,"230",,1,0.061210129211,,1.596483262351,,,,0.81796265644
121,,,1,0.061210129211,,1.596483262351,,,,0.81796265644
122,"M310",,1,0.077785156843,,1.67588116442,,,,0.712880315168
122,,,1,0.077326390206,,1.761223104474,,,,0.662953710242
123,"M220",,1,0.03270399701,,1.903092443291,,,,0.698871534868
123,,,1,0.030322950767,,1.828656086305,,,,0.751189291893
125,"130",,2,,0.014681172243,,1.707481851138,1.54968448898,,0.92469569369
125,"210",,2,,0.043657756158,,1.745977544447,1.861107772548,,0.619728947261
125,,,2,,0.030527229068,,1.687890829537,1.758110981777,,0.747370748005
126,"M220",,1,0.067742191135,,2.067725566182,,,,0.498583263448
126,,,1,0.046000669977,,1.94327789681,,,,0.661031637303
128,"230",,1,0.078850422303,,1.750607649915,,,,0.610216932233
128,,,1,0.078850422303,,1.750607649915,,,,0.610216932233
129,"210",,2,,0.018738109969,,1.816986180615,1.722985549267,,0.914618821782
129,"M220",,2,,0.027010815414,,1.530603739022,1.815264036964,,0.953058057085
129,,,2,,0.027582546313,,1.698093152381,1.784740211843,,0.879141182815
131,"230",0,4,0.03561408098,,1.384818215711,,,-0.03493278539,0.887335694383
131,,0,4,0.036927898668,,1.386630275835,,,-0.035296634392,0.876614885442
131,"230",1,2,,0.039939176532,,1.346298933473,1.668126552049,,0.970566892595
131,,1,2,,0.039461408338,,1.338142888736,1.668488629,,0.977391519301
132,"230",,2,,0.048433434526,,1.315346080438,1.637780880115,,0.832266145297
