"SPCD","DIVISION","STDORGCD","equation","a","a0","a1","b","b0","b1","b2","c","c1"
12,"210",,1,11.539010367964,,,2.483196825997,,,,-1.094254110011,
12,,,1,15.605084742471,,,2.635317276572,,,,-1.24698502093,
15,"M260",,1,0.190013872533,,,1.723532757879,,,,0.358146254457,
15,,,1,0.45257970782,,,1.839181317263,,,,0.090906829291,
16,,,1,2.263841230775,,,2.149913486634,,,,-0.503239821284,
17,"M330",,1,0.301608040893,,,2.062927801381,,,,0.170076208344,
17,,,1,2.742349630078,,,1.9494839195,,,,-0.31488549412,
19,"M330",,1,9.599908709032,,,2.35496141518,,,,-0.89912555409,
19,,,1,3.958526266318,,,2.354548256443,,,,-0.693801733604,
20,,,1,2.263841230775,,,2.270287197573,,,,-0.503239821284,
68,,,1,1.229992968048,,,1.91003854589,,,,-0.282127411799,
71,"210",,1,1.867233716729,,,2.181310435128,,,,-0.715231695716,
71,,,1,8.571727724531,,,2.48230008161,,,,-1.222946645319,
73,"M330",,1,2.332767688452,,,2.192831044072,,,,-0.845807879337,
73,,,1,1.108074285001,,,2.11027190681,,,,-0.597411426768,
81,,,1,1.229992968048,,,1.950696127272,,,,-0.282127411799,
91,,,1,6.911634726964,,,2.769861537205,,,,-0.986830404355,
93,"M330",,1,3.859977303158,,,2.263740717787,,,,-0.5922118042,
93,,,1,2.988093047549,,,2.245664172177,,,,-0.541530255269,
94,"210",,1,20.730559777339,,,2.733935183586,,,,-1.386865266707,
94,,,1,6.581820798637,,,2.691511677904,,,,-1.010198107218,
95,"130",,1,69.834428469656,,,2.928142967451,,,,-1.788182000874,
95,"210",,1,13.485005172552,,,2.697469918701,,,,-1.257385803227,
95,,,1,42.719115960252,,,2.7249775935,,,,-1.585388570998,
97,"M220",,1,2.045056850874,,,1.850051242907,,,,-0.290769146728,
97,,,1,2.685953180251,,,1.943987143806,,,,-0.420476272142,
98,,,1,6.911634726964,,,2.52221171001,,,,-0.986830404355,
101,,,1,6.857362436773,,,2.173509838505,,,,-1.104092286666,
105,"130",,1,4.886995544865,,,2.570258650412,,,,-1.015986463361,
105,"210",,1,38585.5866150749,,,3.91136590129,,,,-4.097306422612,
105,,,1,20.786326457262,,,2.666534899752,,,,-1.487746884702,
108,"M330",,2,,7.897891369725,,,2.922159816047,2.804650740743,,-1.306961710828,
108,,,2,,5.449179614537,,,2.824503256615,2.516175387511,,-1.163243204707,
110,"230",,1,2.01290513454,,,2.579140325749,,,,-0.854025041692,
110,"M230",,1,8.10781980873,,,2.746458252462,,,,-1.420072219885,
110,,,1,2.195307738473,,,2.814921128662,,,,-1.063846911125,
111,"230",0,1,6.320403109915,,,2.828071285132,,,,-1.251061938318,
111,,0,1,6.320403109915,,,2.828071285132,,,,-1.251061938318,
111,"230",1,4,25.811510230051,,,2.654632369001,,,-0.037573714528,-1.500902066464,
111,,1,4,25.811510230051,,,2.654632369001,,,-0.037573714528,-1.500902066464,
116,,,1,6.857362436773,,,2.781426712456,,,,-1.104092286666,
119,,,1,6.857362436773,,,2.563692337229,,,,-1.104092286666,
121,"230",,1,2.021188492527,,,2.36859036142,,,,-0.647543390273,
121,,,1,2.021188492527,,,2.36859036142,,,,-0.647543390273,
122,"M240",,1,1.221980506256,,,2.584056909775,,,,-0.723256352975,
122,"M260",,1,1.937929560794,,,2.39552908587,,,,-0.557391922529,
122,"M310",,1,0.945500162881,,,2.775912005349,,,,-0.822849471485,
122,"M330",,1,0.79856113285,,,2.385559427099,,,,-0.471429027557,
122,,,1,0.965263779612,,,2.482840715083,,,,-0.56001370318,
123,,,1,6.857362436773,,,2.344041733148,,,,-1.104092286666,
125,"210",,1,4.356820969604,,,2.144698775149,,,,-0.746957998247,
125,,,1,5.098080304392,,,2.168002353191,,,,-0.800604544968,
126,,,1,6.857362436773,,,2.437176888835,,,,-1.104092286666,
