"SPCD","COMMON_NAME","HWSW","DIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"10","fir spp.","Softwood","220","BIOMASS",1,10325464.3864761,9884175.05635508,-441289.330121012,-4.27379644734427,"Total aboveground biomass"
"10","fir spp.","Softwood","220","CARBON",1,5162732.24664735,4748357.69707298,-414374.549574372,-8.02626457809167,"Total aboveground carbon"
"10","fir spp.","Softwood","220","VMERIB",1,313439.763915897,124086.812693233,-189352.951222664,-60.4112729211575,"Merchantable wood volume"
"10","fir spp.","Softwood","220","WMERBCH",1,1577744.41543268,6547458.57023057,4969714.15479789,314.988543530037,"Top and limb weight"
"10","fir spp.","Softwood","220","WMEROB",1,8168157.9887747,2792188.97948679,-5375969.00928791,-65.8161732017913,"Merch bole wood and bark weight"
"10","fir spp.","Softwood","220","WSTPOB",1,579561.982268706,544527.506637699,-35034.4756310078,-6.04499202895688,"Stump wood and bark weight"
"100","pine spp.","Softwood","M220","BIOMASS",2,57292276.035938,106780894.491374,49488618.4554363,86.3792152791998,"Total aboveground biomass"
"100","pine spp.","Softwood","M220","CARBON",2,28646138.1911906,51035928.5221524,22389790.3309618,78.1598908080642,"Total aboveground carbon"
"100","pine spp.","Softwood","M220","VMERIB",2,2674935.45266108,1702541.05416746,-972394.398493617,-36.3520696369051,"Merchantable wood volume"
"100","pine spp.","Softwood","M220","WMERBCH",2,1114760.23766619,5709305.32723442,4594545.08956823,412.155451398871,"Top and limb weight"
"100","pine spp.","Softwood","M220","WMEROB",2,50971589.7517634,91930136.6381995,40958546.8864361,80.3556394570156,"Merch bole wood and bark weight"
"100","pine spp.","Softwood","M220","WSTPOB",2,5205926.04650846,9141452.52594041,3935526.47943196,75.5970492909991,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M260","BIOMASS",1,6617309655.45559,9598228589.19487,2980918933.73928,45.0472939751532,"Total aboveground biomass"
"101","whitebark pine","Softwood","M260","CARBON",1,3308654850.63458,4587473354.20569,1278818503.57111,38.6507073509296,"Total aboveground carbon"
